,remark,price,title,flavour,environment,service
199,69,58,大蜀龙门火锅(红星路二段总店),7.7,8.7,
200,58,75,五斗柴火锅鲜生(太古里店),8.5,8.0,
201,59,62,灶王爷石锅老火锅,8.5,8.7,
202,340,82,蜀国大师(盐市口店),8.3,9.1,
203,641,88,红鼎坊(总店),8.2,8.0,
204,1,,谭二师路边麻辣烫,7.6,7.6,
205,536,77,一条乌鱼泡龙虾,7.6,8.1,
206,642,82,大龙火锅(春熙路概念店),7.8,8.1,
207,1022,74,蜀宗袍哥人家老火锅(春熙路店),8.2,8.2,
208,1418,77,蜀锦味老火锅(春熙路店),7.9,8.1,
209,145,68,老重庆金三角串串香,7.7,7.0,
210,559,94,聚百香川西坝子(香槟广场店),7.8,7.8,
211,489,74,闹城都鲜货火锅(春熙路店),7.6,8.4,
212,1816,65,三国烤肉海鲜欢乐自助风(春熙店),7.0,6.9,
213,1,,囍辣火锅厅·喜辣(太古里店),7.7,7.7,
214,346,79,围炉川西坝子火锅(总府路店),8.0,8.1,
215,386,74,蓉城江北老灶火锅(春熙路店),7.1,7.4,
216,119,79,红瓦房火锅(春熙路王府井店),7.8,8.1,
217,10,,春熙里老火锅,7.6,7.8,
218,31,119,川家铺子火锅,6.9,7.2,
219,202,89,大道川西坝子火锅(春熙路店),6.8,6.9,
220,52,72,味霸美蛙鱼头主题龙虾馆(香槟广场店),7.3,7.1,
221,276,68,锦园火锅,7.2,8.3,
222,4,,大龙火锅,6.9,6.9,
223,26,40,逗士香砂锅串串,7.1,7.0,
224,1,,醉城都火锅(香槟广场店),7.1,7.1,
225,2,,四川宾馆南楼,6.8,6.8,
226,1,,小涮锅,6.9,7.0,
227,12,,大蜀龙门火锅(春熙总店),7.0,7.1,
228,339,65,雷火锅新派串串(太古里店),9.0,8.7,
229,428,79,龍爷翻大江老火锅(春熙路总店),8.1,9.0,
230,203,73,红花椒新火锅(春熙路店),7.6,7.8,
231,118,81,摆渡人老火锅铺,7.4,7.5,
232,683,80,蜀仙里火锅(太古里店),8.7,9.2,
233,664,81,大院火老火锅(春熙路店),9.0,9.1,
234,2309,78,逸南山鲜毛肚火锅,8.1,8.8,
235,702,111,大侠行江湖火锅(春熙店),8.7,9.3,
236,1515,81,蜀韵蜀味火锅(春熙店),8.7,9.1,
237,488,67,华兴九号辣铺(春熙总店),8.6,9.2,
238,1460,95,蜀小匠牛排火锅(春熙路总店),8.1,7.5,
239,1244,86,醉码头火锅(春熙路店),8.8,9.1,
240,278,96,鲜炎·炭火火锅,8.1,8.8,
241,1260,75,码头故事火锅(春熙路店),8.8,9.1,
242,3437,84,凤望龙门老火锅(春熙店),8.6,8.6,
243,1416,69,有拈头成都市井火锅(太古里店),7.9,8.0,
244,1266,78,凤望龙门老火锅(盐市口概念店),9.0,9.0,
245,2139,90,春熙里老火锅(春熙总店),8.5,9.0,
246,1182,78,重庆袁老四老火锅(香槟店),8.3,8.5,
247,280,125,大妙火锅(太古里店),8.4,9.1,
248,3323,88,巴蜀大将火锅(春熙店),8.4,8.8,
249,82,76,小春熙老火锅(春熙路店),8.9,9.1,
250,868,76,塘门英雄·美蛙鱼头火锅(春熙路店),8.7,9.0,
251,709,79,龙门飞鱼美蛙鱼头火锅(春熙店),8.7,8.9,
252,2535,83,重庆袁老四老火锅(东升店),8.3,8.3,
253,1707,84,巴蜀大将火锅(IFS店),8.3,8.9,
254,1045,91,牛莽莽老火锅(银石广场店),8.0,8.7,
255,112,63,蜀财神火锅,9.0,9.1,
256,807,81,重庆袁老四老火锅(太古里店),8.2,8.6,
257,552,82,谭鸭血老火锅(王府井直营店),7.7,8.1,
258,528,102,梨园火锅(兰桂坊店),8.2,9.1,
259,1721,80,蜀胡记川西坝子(东门大桥店),8.7,8.8,
260,1187,73,蛙三泡椒牛蛙(春熙银石店),8.3,8.6,
261,1474,76,龙幺妹老火锅(香槟广场店),8.5,8.3,
262,530,63,竹板凳老火锅(春熙店),8.2,8.9,
263,505,59,拿东拿西自助火锅(春熙路店),8.0,8.4,
264,69,58,大蜀龙门火锅(红星路二段总店),7.7,8.7,
265,58,75,五斗柴火锅鲜生(太古里店),8.5,8.0,
266,59,62,灶王爷石锅老火锅,8.5,8.7,
267,340,82,蜀国大师(盐市口店),8.3,9.1,
268,641,88,红鼎坊(总店),8.2,8.0,
269,1,,谭二师路边麻辣烫,7.6,7.6,
270,536,77,一条乌鱼泡龙虾,7.6,8.1,
271,642,82,大龙火锅(春熙路概念店),7.8,8.1,
272,1022,74,蜀宗袍哥人家老火锅(春熙路店),8.2,8.2,
273,1418,77,蜀锦味老火锅(春熙路店),7.9,8.1,
274,145,68,老重庆金三角串串香,7.7,7.0,
275,559,94,聚百香川西坝子(香槟广场店),7.8,7.8,
276,489,74,闹城都鲜货火锅(春熙路店),7.6,8.4,
277,1816,65,三国烤肉海鲜欢乐自助风(春熙店),7.0,6.9,
278,1,,囍辣火锅厅·喜辣(太古里店),7.7,7.7,
279,346,79,围炉川西坝子火锅(总府路店),8.0,8.1,
280,386,74,蓉城江北老灶火锅(春熙路店),7.1,7.4,
281,119,79,红瓦房火锅(春熙路王府井店),7.8,8.1,
282,10,,春熙里老火锅,7.6,7.8,
283,31,119,川家铺子火锅,6.9,7.2,
284,202,89,大道川西坝子火锅(春熙路店),6.8,6.9,
285,52,72,味霸美蛙鱼头主题龙虾馆(香槟广场店),7.3,7.1,
286,276,68,锦园火锅,7.2,8.3,
287,4,,大龙火锅,6.9,6.9,
288,26,40,逗士香砂锅串串,7.1,7.0,
289,1,,醉城都火锅(香槟广场店),7.1,7.1,
290,2,,四川宾馆南楼,6.8,6.8,
291,1,,小涮锅,6.9,7.0,
292,12,,大蜀龙门火锅(春熙总店),7.0,7.1,
293,339,65,雷火锅新派串串(太古里店),9.0,8.7,
294,428,79,龍爷翻大江老火锅(春熙路总店),8.1,9.0,
295,203,73,红花椒新火锅(春熙路店),7.6,7.8,
296,118,81,摆渡人老火锅铺,7.4,7.5,
297,683,80,蜀仙里火锅(太古里店),8.7,9.2,
298,664,81,大院火老火锅(春熙路店),9.0,9.1,
299,2309,78,逸南山鲜毛肚火锅,8.1,8.8,
300,702,111,大侠行江湖火锅(春熙店),8.7,9.3,
301,1515,81,蜀韵蜀味火锅(春熙店),8.7,9.1,
302,488,67,华兴九号辣铺(春熙总店),8.6,9.2,
303,1460,95,蜀小匠牛排火锅(春熙路总店),8.1,7.5,
304,1244,86,醉码头火锅(春熙路店),8.8,9.1,
305,278,96,鲜炎·炭火火锅,8.1,8.8,
306,1260,75,码头故事火锅(春熙路店),8.8,9.1,
307,3437,84,凤望龙门老火锅(春熙店),8.6,8.6,
308,1416,69,有拈头成都市井火锅(太古里店),7.9,8.0,
309,1266,78,凤望龙门老火锅(盐市口概念店),9.0,9.0,
310,2139,90,春熙里老火锅(春熙总店),8.5,9.0,
311,1182,78,重庆袁老四老火锅(香槟店),8.3,8.5,
312,280,125,大妙火锅(太古里店),8.4,9.1,
313,3323,88,巴蜀大将火锅(春熙店),8.4,8.8,
314,82,76,小春熙老火锅(春熙路店),8.9,9.1,
315,868,76,塘门英雄·美蛙鱼头火锅(春熙路店),8.7,9.0,
316,709,79,龙门飞鱼美蛙鱼头火锅(春熙店),8.7,8.9,
317,2535,83,重庆袁老四老火锅(东升店),8.3,8.3,
318,1707,84,巴蜀大将火锅(IFS店),8.3,8.9,
319,1045,91,牛莽莽老火锅(银石广场店),8.0,8.7,
320,112,63,蜀财神火锅,9.0,9.1,
321,807,81,重庆袁老四老火锅(太古里店),8.2,8.6,
322,552,82,谭鸭血老火锅(王府井直营店),7.7,8.1,
323,528,102,梨园火锅(兰桂坊店),8.2,9.1,
324,1721,80,蜀胡记川西坝子(东门大桥店),8.7,8.8,
325,1187,73,蛙三泡椒牛蛙(春熙银石店),8.3,8.6,
326,1474,76,龙幺妹老火锅(香槟广场店),8.5,8.3,
327,530,63,竹板凳老火锅(春熙店),8.2,8.9,
328,505,59,拿东拿西自助火锅(春熙路店),8.0,8.4,
329,69,58,大蜀龙门火锅(红星路二段总店),7.7,8.7,
330,58,75,五斗柴火锅鲜生(太古里店),8.5,8.0,
331,59,62,灶王爷石锅老火锅,8.5,8.7,
332,340,82,蜀国大师(盐市口店),8.3,9.1,
333,641,88,红鼎坊(总店),8.2,8.0,
334,1,,谭二师路边麻辣烫,7.6,7.6,
335,536,77,一条乌鱼泡龙虾,7.6,8.1,
336,642,82,大龙火锅(春熙路概念店),7.8,8.1,
337,1022,74,蜀宗袍哥人家老火锅(春熙路店),8.2,8.2,
338,1418,77,蜀锦味老火锅(春熙路店),7.9,8.1,
339,145,68,老重庆金三角串串香,7.7,7.0,
340,559,94,聚百香川西坝子(香槟广场店),7.8,7.8,
341,489,74,闹城都鲜货火锅(春熙路店),7.6,8.4,
342,1816,65,三国烤肉海鲜欢乐自助风(春熙店),7.0,6.9,
343,1,,囍辣火锅厅·喜辣(太古里店),7.7,7.7,
344,346,79,围炉川西坝子火锅(总府路店),8.0,8.1,
345,386,74,蓉城江北老灶火锅(春熙路店),7.1,7.4,
346,119,79,红瓦房火锅(春熙路王府井店),7.8,8.1,
347,10,,春熙里老火锅,7.6,7.8,
348,31,119,川家铺子火锅,6.9,7.2,
349,202,89,大道川西坝子火锅(春熙路店),6.8,6.9,
350,52,72,味霸美蛙鱼头主题龙虾馆(香槟广场店),7.3,7.1,
351,276,68,锦园火锅,7.2,8.3,
352,4,,大龙火锅,6.9,6.9,
353,26,40,逗士香砂锅串串,7.1,7.0,
354,1,,醉城都火锅(香槟广场店),7.1,7.1,
355,2,,四川宾馆南楼,6.8,6.8,
356,1,,小涮锅,6.9,7.0,
357,12,,大蜀龙门火锅(春熙总店),7.0,7.1,
358,339,65,雷火锅新派串串(太古里店),9.0,8.7,
359,428,79,龍爷翻大江老火锅(春熙路总店),8.1,9.0,
360,203,73,红花椒新火锅(春熙路店),7.6,7.8,
361,118,81,摆渡人老火锅铺,7.4,7.5,
362,683,80,蜀仙里火锅(太古里店),,,
363,664,81,大院火老火锅(春熙路店),,,
364,2309,78,逸南山鲜毛肚火锅,,,
365,702,111,大侠行江湖火锅(春熙店),,,
366,1515,81,蜀韵蜀味火锅(春熙店),,,
367,488,67,华兴九号辣铺(春熙总店),,,
368,1460,95,蜀小匠牛排火锅(春熙路总店),,,
369,1244,86,醉码头火锅(春熙路店),,,
370,278,96,鲜炎·炭火火锅,,,
371,1260,75,码头故事火锅(春熙路店),,,
372,3437,84,凤望龙门老火锅(春熙店),,,
373,1416,69,有拈头成都市井火锅(太古里店),,,
374,1266,78,凤望龙门老火锅(盐市口概念店),,,
375,2139,90,春熙里老火锅(春熙总店),,,
376,1182,78,重庆袁老四老火锅(香槟店),,,
377,280,125,大妙火锅(太古里店),,,
378,3323,88,巴蜀大将火锅(春熙店),,,
379,82,76,小春熙老火锅(春熙路店),,,
380,868,76,塘门英雄·美蛙鱼头火锅(春熙路店),,,
381,709,79,龙门飞鱼美蛙鱼头火锅(春熙店),,,
382,2535,83,重庆袁老四老火锅(东升店),,,
383,1707,84,巴蜀大将火锅(IFS店),,,
384,1045,91,牛莽莽老火锅(银石广场店),,,
385,112,63,蜀财神火锅,,,
386,807,81,重庆袁老四老火锅(太古里店),,,
387,552,82,谭鸭血老火锅(王府井直营店),,,
388,528,102,梨园火锅(兰桂坊店),,,
389,1721,80,蜀胡记川西坝子(东门大桥店),,,
390,1187,73,蛙三泡椒牛蛙(春熙银石店),,,
391,1474,76,龙幺妹老火锅(香槟广场店),,,
392,530,63,竹板凳老火锅(春熙店),,,
393,505,59,拿东拿西自助火锅(春熙路店),,,
394,69,58,大蜀龙门火锅(红星路二段总店),,,
395,58,75,五斗柴火锅鲜生(太古里店),,,
396,59,62,灶王爷石锅老火锅,,,
397,340,82,蜀国大师(盐市口店),,,
398,641,88,红鼎坊(总店),,,
399,1,,谭二师路边麻辣烫,,,
400,536,77,一条乌鱼泡龙虾,,,
401,642,82,大龙火锅(春熙路概念店),,,
402,1022,74,蜀宗袍哥人家老火锅(春熙路店),,,
403,1418,77,蜀锦味老火锅(春熙路店),,,
404,145,68,老重庆金三角串串香,,,
405,559,94,聚百香川西坝子(香槟广场店),,,
406,489,74,闹城都鲜货火锅(春熙路店),,,
407,1816,65,三国烤肉海鲜欢乐自助风(春熙店),,,
408,1,,囍辣火锅厅·喜辣(太古里店),,,
409,346,79,围炉川西坝子火锅(总府路店),,,
